รหัสสัตว์น้ำ,ชนิดสัตว์น้ำ,ชื่อไทย,ชื่อท้องถิ่น,ชื่อสามัญ,ชื่อวิทยาศาสตร์,ชื่อวงศ์สัตว์น้ำ,ชื่อ/ปีที่เผยแพร่,ลักษณะชีววิทยาทั่วไป,ถิ่นที่อาศัย,สถานะภาพ,ที่มาของภาพ,ที่มาของข้อมูล,ชื่อภาพ,Path เก็บภาพ (เล็ก),Path เก็บภาพ (ใหญ่)
46,ปลา, ปลาไหลนา, ปลาไหลนา ปลาไหลบึง," Swamp Eel, Asian Swamp Eel", Monopterus   albus, Family Synbranchidae,"Zuiew, 1793", ปลาไหลนาเป็นปลาน้ำจืดกลุ่มปลากระดูกแข็ง ชนิดหนึ่ง ลักษณะลำตัวยาว ครีบอก (pectoral fin) และครีบท้อง (ventral fin) เสื่อมหายไม่เหลืออยู่เลย ครีบหลัง (dorsal fin) เริ่มต้นตรงกับแนวของรูก้นทอดไปตามแนวสันลำตัวด้านบน ส่วนครีบก้น (anal fin) เริ่มต้นจากจุดกึ่งกลางของระยะรูก้นกับปลายหาง โดยทั้งครีบหลังและครีบก้นจะไปรวมกับครีบหาง (caudal fin) ทำให้ปลาไหลนามีหางแบบ diphycercal tail มีลักษณะปลายหางเรียวแหลม แบ่งครีบหางออกเป็นสองส่วนเท่าๆ กัน ปลาไหลนาจัดเป็นพวกปลากินเนื้อ (carnivorous fish) ที่ชอบฉก หรือแทะกินเนื้อสัตว์ที่ตายแล้ว ทั้งสภาพสดที่มีกลิ่นคาวจัด จนเน่าเปื่อยจนมีกลิ่นเหม็น รวมถึงลูกปลาขนาดเล็กตัวหนอน ตัวอ่อนแมลง ไส้เดือน หรือสัตว์หน้าดินต่างๆ (benthos) ซากวัชพืชที่มีสิ่งมีชีวิตเล็กๆ เกาะอาศัยอยู่ เป็นปลาที่มีตาขนาดเล็ก แต่จมูกและเส้นข้างลำตัวพัฒนาการดี จึงชอบกินอาหารในที่มืด สิ่งแวดล้อมสงบเงียบ และมีนิสัยรวมกลุ่มในการอยู่อาศัยหรือกินอาหาร ปลาจะเติบโตมีความสมบูรณ์เพศเมื่ออายุครบ 1 ปี และมีความยาวเหยียดประมาณ 17 เซนติเมตร ปลาขนาดนี้จะเป็นปลาเพศเมียล้วน และ สรุปว่า ปลาไหลนาเมื่อขนาดยังเล็ก (ความยาวตัว < 28 เซนติเมตร) เป็นปลาเพศเมียเมื่อโตขึ้นขนาดตัวปานกลาง (ความยาวตัว 28.0 - 45.9 เซนติเมตร) เป็นปลาเพศรวมและเมื่อปลาขนาดใหญ่ (ความยาวตัว > 46 เซนติเมตร) และอายุมาก เป็นปลาเพศผู้ ปลาไหลนาจึงเป็นพวก Genetic Sex Reversal แบบ Protogynous Hermaphrodite พฤติกรรมการวางไข่ แม่ปลาไหลจะก่อหวอดในโพรงดินที่มีโพรงอากาศก่อนวางไข่ประมาณ 1 - 2 วัน ลักษณะของไข่ปลาหลังการวางไข่ใหม่ๆ เป็นเม็ดกลมใสเส้นผ่านศูนย์กลางประมาณ 2 มิลลิเมตร และจะค่อยๆ บวมน้ำขยายขนาดโตขึ้นจนมีขนาดเส้นผ่าศูนย์กลางประมาณ 3 มิลลิเมตร ไข่มีสีเหลืองอ่อนกลมทึบแสง พ่อแม่ปลาไหลนาจะหวงแหนไข่มาก คอยเฝ้าบริเวณปากโพรงดินบริเวณที่วางไข่ ปลาไหลนาจึงเป็นปลาที่มีพฤติกรรม ที่พ่อแม่ปลาคอยดูแลรักษาไข่ เพื่อป้องกันอันตรายจากศัตรูต่างๆ, พบได้ทั่วไปตามแหล่งน้ำธรรมชาติ เช่น คูน้ำ ห้วย หนอง คลอง บึง ที่ค่อนข้างเป็นแหล่งน้ำนิ่ง จึงเรียกว่าปลาไหลบึง (swamp eel) และยังสามารถเจริญเติบโตได้ดีในนาข้าว จึงนิยมเรียกกันว่า ปลาไหลนา (rice-field eel) ชอบอาศัยอยู่ตามพื้นโคลนที่มีซากพืชซากสัตว์เน่าเปื่อยสะสมอยู่หรือบริเวณที่ปกคลุมด้วยวัชพืช พวกหญ้าน้ำที่รกและชื้นแฉะ ในฤดูแล้งขุดรูอยู่อาศัย ลึก 1 - 1.5 เมตร หรือชอบฝังตัวในลักษณะจำศีลใต้พื้นโคลนบริเวณก้นหนองบึง ด้วยลักษณะพิเศษทางกายวิภาคและสรีระวิทยาของปลาไหลนา ทำให้สามารถอยู่อาศัยในที่แห้งแล้งไม่มีน้ำได้นานๆ, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดปัตตานี, ศูนย์วิจัยและพัฒนาประมงน้ำจืดปัตตานี, 46.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/46.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=46
47, ปลา, ปลาเทโพ, ปึ่ง หูหมาด เต๊าะ, Black Ear Catfish, Pangasius   larnaudii, Family Pangasiidae,"Bocourt, 1866"," เป็นปลาไม่มีเกล็ด มีจุดแต้มสีดำบริเวณครีบหูทั้งสองข้าง ขนาดโตเต็มที่ความยาว 1.30 เมตร(สมโภชน์, 2523) กินทั้งพืชและสัตว์เป็นอาหาร แต่ปลาขนาดเล็กจะกินแมลงเพียงอย่างเดียว", พบแพ่รกระจายทั่วไปในแม่น้ำโขงและสาขา แม่น้ำเจ้าพระยา และแม่น้ำสายสำคัญ เช่น แม่น้ำปิง แม่น้ำมูล และอ่างเก็บน้ำ, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดยโสธร, ศูนย์วิจัยและพัฒนาประมงน้ำจืดยโสธร, 47.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/47.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=47
48, ปลา, ปลาแก้มแดง, ตะเพียนแก้มแดง,, Hypsibarbus   lageri, Family Cyprinidae,"Rainboth, 1996", เป็นปลาน้ำจืดที่มีลักษณะคล้ายปลาตะเพียน แต่มีขนาดใหญ่กว่า ลำตัวแบนข้าง แผ่นปิดเหงือกมีสีแดง เกล็ดเหนือเส้นข้างลำตัวถึงโคนครีบหลังมี 5 แถว พบขนาดใหญ่สุดมีความยาว 40 เซนติเมตร กินแพลงก์ตอนสัตว์ สาหร่ายและใส้เดือน เป็นอาหาร, แม่น้ำโขงตอนกลางและสาขา, สัตว์น้ำเฉพาะถิ่น, ศูนย์วิจัยและพัฒนาประมงน้ำจืดยโสธร, ศูนย์วิจัยและพัฒนาประมงน้ำจืดยโสธร, 48.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/48.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=48
49, ปลา, ปลาตะเพียนลาย, ยาลุยีลีมา, Striped barb, Systomus   johorensis, Family Cyprinidae,, รูปร่างแบนข้าง ลำตัวแบบกระสวย ปากเล็ก มีหนวด 2 คู่ ตัวมีสีน้ำตาลแดงหรือเหลืองเข้ม มีแถบสีดำตามแนวยาวของลำตัว 5-6 แถบ ตั้งแต่ด้านหลังจนถึงด้านท้อง แถบใหญ่สุดอยู่ที่กลางลำตัว ตามแนวเส้นข้างตัวไปถึงโคนครีบหาง ในปลาตัวเล็กมีบั้งตามแนวขวางลำตัว 4 บั้ง เมื่อโตขึ้นจะเปลี่ยนเป็นแถบตามแนวยาว ขนาดพบใหญ่สุด 10 เซนติเมตร พบเป็นฝูง 10-30 ตัว, พรุโต๊ะแดง จังหวัดนราธิวาส, สัตว์น้ำเฉพาะถิ่น, www.siamensis.org./taxonomy/term/4967/0, กรมประมง, 49.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/49.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=49
50, ปลา, ปลากระแห, ปลาลำปำ ปลาเลียนไฟ ตะเพียนหางแดง, Schwanen feld ’s tinfoil barb, Barbodes   schwanenfeldi, Family Cyprinidae,"(Bleeker, 1853)", รูปร่างป้อมสั้น ลำตัวแบนข้าง หัวมีขนาดเล็ก จะงอยปากสั้นทู่ นัยน์ตาเล็ก ปากเล็กและอยู่ปลายสุด เกล็ดมีขนาดใหญ่ สีพื้นของลำตัว เป็นสีขาวเงิน หรือสีเหลืองปนแดง กระโดงหลังสีแดง และมีแถบดำที่ปลายกระโดง ขอบบนและล่างของครีบหาง มีแถบสีดำข้างละแถบ, แม่น้ำ ลำคลอง หนองบึง ทั่วทุกภาค, สัตว์น้ำทั่วไป,,, 50.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/50.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=50
52, ปลา, ปลากระดี่ กระดี่นาง กระดี่แสงจันทร์, ภาษาอีสาน เรียกว่า, Moonlight gourami, Trichogaster   microlepis,,"(Gunther, 1861)", ลักษณะนิสัย มีพฤติกรรมชอบอยู่รวมกันเป็นฝูง สามารถฮุบอากาศจากผิวน้ำได้โดยตรง โดยไม่ต้องผ่านเหงือก เมื่อถึงฤดูผสมพันธุ์จะก่อหวอดผสมกับเศษหญ้าหรือพืชไม้ชนิดต่าง ๆ ชอบอยู่ในน้ำนิ่งระดับน้ำไม่ลึกนัก และว่ายน้ำหากินอยู่ตามกอหญ้า นาข้าว พันธุ์ไม้น้ำ ต่าง ๆ กระดี่นางมักอาศัยปะปนอยู่กับกระดี่หม้อ แต่มีจำนวนไม่มากนัก หายากกว่ากระดี่หม้อ ผู้ที่มีความชำนาญอาจมองหวอดปลากระดี่ออกว่าหวอดไหนเป็นกระดี่หม้อหรือกระดี่นาง หวอดกระดี่นางมีผู้ตักช้อนมาเลี้ยงไว้ในบ่อหรืออ่างกว้าง ๆ แล้วนำลูกที่เลี้ยงได้ขนาดส่งขายตลาดปลาสวยงาม อาหารและการกินอาหาร กินแพลงก์ตอนเป็นอาหารเป็นปลาที่มีนิสัยชอบหากินบริเวณผิวน้ำ ฤดูวางไข่ พฤษภาคม ถึง กันยายน, พบตามแหล่งน้ำทั่วไปในทุกภาคของประเทศ ชอบอยู่ในแหล่งน้ำนิ่ง ต่างประเทศมีในแถบอินโดจีน เป็นปลาที่พบได้ในแหล่งน้ำในภาคอีสาน ภาคกลาง และ ภาคตะวันออกของไทย, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดชลบุรี, ศูนย์วิจัยและพัฒนาประมงน้ำจืดชลบุรี, 52.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/52.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=52
57, ปลา, ปลาดุกอุย, ดุกอุย, Broadhead catfish, Clarias macrocephalus  , Family CLARIIDAE,"(G?nther, 1864)", ส่วนของท้ายทอยยื่นแหลม แต่ส่วนท้ายมนกลม ครีบหลังอยู่ค่อนข้างชิดกับท้ายทอย ส่วนหัวแบนราบ ด้านบนหัวเรียบไม่ขรุขระและแบนข้างไปทางด้านท้ายของลำตัว ครีบหลัง ครีบก้น และครีบหางแยกกันชัดเจน ครีบท้องเล็ก ครีบหางเล็กปลายมน ตัวมีสีคล้ำอมเหลือง มีจุดสีขาวเป็นแถวแนวตั้งบนลำตัวในบางตัว ด้านท้องมีสีจาง, แหล่งน้ำนิ่ง และแม่น้ำของทุกภาค ยกเว้นแม่น้ำสาละวิน, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืนครราชสีมา, กรมประมง,,,
59, ปลา, ปลาบู่, ปลาบู่จาก ปลาบู่เอื้อย," Sand Goby,Marble Sleeper", Oxyeleotris   marmorata, Family Eleotridae,"Bleeker, 1852", ปลาบู่มีลำตัวค่อนข้างกลม หางแบน ปากกว้างเฉียงขึ้นเล็กน้อย นัยน์ตาเล็ก รูจมูกคู่หน้าเป็นหลอดยื่นมาชิดกับร่องเหนือริมปาก ครีบอกไม่ติดกัน ครีบหลังมีสองอัน ครีบหางกลมมน เคลื่อนไหวช้าในระดับกลางน้ำ แต่จะปราดเปรียวเมื่ออยู่บนพื้นและสามารถหยุดการเคลื่อนไหวได้กระทันหัน ปลาบู่จัดเป็นปลาขนาดกลาง ขนาดโตเต็มวัยประมาณ 30 ซม.ขนาดใหญ่ที่สุดที่เคยพบยาวถึง 60 ซม. ในธรรมชาติปลาตัวเมียจะวางไข่ติดกับวัสดุต่างๆ ในน้ำ เช่น เสาไม้ ตอไม้ ฯลฯ ปลาตัวผู้จะเข้าดูแลไข่โดยใช้ครีบหูหรือครีบหางพัดโบกไปมาช้าๆ เข้าใจว่าเป็นการช่วยเพิ่มออกซิเจน ปลาบู่เป็นปลากินสัตว์น้ำอื่น ได้แก่ ลูกปลา ตัวอ่อนแมลงน้ำ กุ้ง ปู เป็นต้น สามารถเลี้ยงให้เจริญเติบโตได้ทั้งในบ่อและกระชัง, แม่น้ำ สาขาของแม่น้ำและอ่างเก็บน้ำทุกภาคของประเทศไทย, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดปทุมธานี, ศูนย์วิจัยและพัฒนาประมงน้ำจืดปทุมธานี, 59.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/59.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=59
56, ปลา, ปลาชะโอน, สยุมพร, Two - spot glass catfish, Ompok bimaculatus  , Family Family SILURIDAE,", 0", เป็นปลาที่อาศัยอยู่ในแม่น้ำลำคลองที่มีกระแสน้ำไหลเบาๆ หรือน้ำนิ่ง อาศัยอยู่รวมกันเป็นฝูง กินลูกปลาขนาดเล็กเป็นอาหาร มีลักษณะโดยทั่วไป คือ หัวสั้น และแบนข้างเล็กน้อย ลำตัวแบนข้างและยาว ส่วนหลังโค้งสูงขึ้นเล็กน้อย ปากกว้าง ขากรรไกรล่างยื่นออกมาเลยขากรรไกรบนเล็กน้อย ตาขนาดค่อนข้างโตอยู่สูงกว่าหลังมุมปากเล็กน้อย มีหนวด 2 คู่ คือหนวดที่ริมฝีปากยาวถึงประมาณท้อง และหนวดใต้คางสั้น ครีบหลังมีขนาดเล็ก ครีบอกมีขนาดใหญ่ ครีบท้องอยู่ตรงข้ามกับครีบหลัง ครีบหางแบบ 2 แฉกเว้าตรงกลางและปลายมน ลักษณะที่เด่นอีกอย่างหนึ่งคือ มีจุดสีดำขนาดใหญ่อยู่เหนือครีบอก, กลุ่มประเทศเอเชียตะวันออกเฉียงใต้ ตั้งแต่อินเดีย พม่า เวียดนาม ตลอดจนมาเลเซีย, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, ศูนย์วิจัยและพัฒนาประมงน้ำจืดชลบุรี, ศูนย์วิจัยและพัฒนาประมงน้ำจืดชลบุรี, 56.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/56.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=56
58, ปลา, ปลาเล็บมือนาง, -, Siamese algae eater, Crossocheilus   siamensis,,"Smith, 1931", เล็บมือนาง เป็นชื่อปลาน้ำจืดชนิดหนึ่ง มีชื่อวิทยาศาสตร์ว่า Crossocheilus reticulatus อยู่ในวงศ์ปลาตะเพียน (Cyprinidae) วงศ์ย่อย Cyprininae - Garrae มีรูปร่างลำตัวเพรียว หัวเล็ก ปากเล็กอยู่ด้านล่างของจงอยปากและมีแผ่นหนังคลุม มีหนวดสั้น 1 คู่ เกล็ดเล็ก ลำตัวสีเงินอมเหลือง มีลายสีคล้ำที่ขอบเกล็ด โคนครีบหางมีจุดสีดำเห็นชัดเจน ครีบใสสีเหลืองเรื่อ มีขนาดความยาวประมาณ 8-10 ซ.ม. ใหญ่สุด 17 ซ.ม. 1. แถบดำข้างตัวเป็นเส้นซิกแซกตามแนวเหล็ดยาวผ่ากลางครีบหาง 2. แนวเกล็ดเหนือแถบดำเป็นลายร่างแห 3. ครีบใสไม่มีสี 4. ปากเป็นปากดูด อาหารของปลาเล็บมือนาง ได้แก่ ตะไคร่น้ำ แพลงก์ตอน และสัตว์หน้าดินขนาดเล็ก, ปลาเล็บมือนางมีพฤติกรรมอยู่เป็นฝูงใหญ่ตามแก่ง ช่วงฤดูฝนมีการย้ายถิ่นเข้าสู่ทุ่งน้ำหลากอาศัยตามแม่น้ำสายหลักและแก่ง แหล่งน้ำหลาก, สัตว์น้ำทั่วไป, สำนักงานพัฒนาเศรษฐกิจจากฐานชีวภาพ,, 58.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/58.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=58
64, ปลา, ปลากระทิงลาย, กระทิงลาย, Tire track eel, Mastacembelus favus  , Family Mastacembelidae,"Hora, 1923", ลำตัวเรียวยาว แบนข้างเล็กน้อย ครีบหลัง ครีบหาง และครีบก้น เชื่อมต่อกัน ด้านหลังมีก้านครีบแข็งสั้นหลายอัน ตาเล็ก ครีบอกใหญ่ หัวมีลายตั้งแต่ปลายจะงอยปากคาดมาที่ตาถึงช่องเปิดเหงือก ตัวมีสีเทาอ่อนหรือน้ำตาลอมเหลือง มีลายดวงสีเหลืองตามลำตัวไปถึงส่วนท้องด้านล่าง ครีบมีสีคล้ำ มีจุดประสีเหลืองอ่อน, แม่น้ำ ลำคลอง หนอง และบึง ทั่วทุกภาค, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดนครราชสีมา, กรมประมง, 64.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/64.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=64
61, ปลา, ปลากดเหลือง, ปลากดเหลือง," Yellow mystus,", Hemibagrus   filamentus, Family Family BAGRIDAE,"(Fang and Chaux, 1949)", เป็นปลาน้ำจืดไม่มีเกล็ด จัดเป็นปลากินเนื้อ มีรูปร่างที่ปราดเปรียว ส่วนหัวมีลักษณะแบนลง และด้านบนของหัวมีลักษณะคล้ายแผ่นเกราะเป็นสัน ที่ไม่ถูกปกคลุมด้วยผิวหนัง ครีบไขมันยาวปานกลาง, แหล่งน้ำธรรมชาติ อ่างเก็บน้ำทั่วทุกภาคของประเทศไทย ภาคใต้พบในแม่น้ำตาปี ปัตตานี สายบุรี บางนรา โกลก และสาขา และบริเวณปากแม่น้ำที่เป็นน้ำกร่อยหรือชายฝั่ง เช่น ทะเลน้อย ทะเลสาบสงขลา และพรุต่าง ๆ เช่น พรุควนเคร็ง พรุโต๊ะแดง อาศัยอยู่ตามพื้นท้องน้ำที่เป็นพื้นดินแข็งและกรวด ที่มีกระแสน้ำไหลผ่านไม่แรงนัก, สัตว์น้ำทั่วไป, จริยา ปลัดอิ่ม, กรมประมง, 61.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/61.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=61
62, ปลา, ปลากระสง, กระจน อีจน, Bloched Snakeheadfish, Channa   lucius, Family Channidae,"Cuvier, 1831", ปลาน้ำจืดที่มีรูปร่างคล้ายปลาช่อนแต่ส่วนหัวแบนกว่า จะงอยปากงอนขขึ้นเล็กน้อย รูปร่างป้อมสั้นกว่าปลาช่อน สีสันบริเวณลำตัวเป็นสีเขียวมะกอกมีลวดลายคล้ายลายไม้ ความยาวเต็มที่ประมาณ 40 เซนติเมตร เป็นปลากินเนื้อ ลูกปลากระสงขนาดเล็กมักอยู่รวมกันเป็นฝูง มีลายแถบดำพาดตามลำตัววตลอดแนว, พบอาศัยในแหล่งน้ำนิ่งทั้งแหล่งน้ำขนาดใหญ่และเล็กทั่วไป รวมถึงบริเวณพื้นที่ป่าพรุ, สัตว์น้ำทั่วไป, www.bloggangcom, www.bloggangcom, 62.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/62.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=62
63, ปลา, ปลาปีกไก่, เพียว กะปิ๋ว, Sheatfish, Kryptopterus   cryptopterus, Family Family SILURIDAE,"ฺBleeker, 1851", รูปร่างเพรียวยาวคล้ายปลาเนื้ออ่อน แบนข้างมาก ส่วนหัวสั้น ปากเล็ก ตาโตอยู่ต่ำกว่ามุมปาก มีหนวดยาว 2 คู่ ครีบหลังเล็กมากเห็นเป็นเส้นสั้นๆ ครีบอกใหญ่มีก้านแข็ง หางเว้าตื้น ตัวมีสีเหลืองเหลือบเขียว ค่อนข้างใส ความยาวประมาณ 10-20 เซนติเมตร, พบอาศัยทั่วไปในแม่น้ำลำคลองและทะเลสาบขนาดใหญ่, สัตว์น้ำทั่วไป, siamensis.org, siamensis.org, 63.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/63.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=63
65, ปลา, ปลาดุกอุย, ดุกอุย, Broadhead catfish, Clarias macrocephalus  , Family CLARIIDAE,"G?nther, 1864", ส่วนของท้ายทอยยื่นแหลม แต่ส่วนท้ายมนกลม ครีบหลังอยู่ค่อนข้างชิดกับท้ายทอย ส่วนหัวแบนราบ ด้านบนหัวเรียบไม่ขรุขระและแบนข้างไปทางด้านท้ายของลำตัว ครีบหลัง ครีบก้น และครีบหางแยกกันชัดเจน ครีบท้องเล็ก ครีบหางเล็กปลายมน ตัวมีสีคล้ำอมเหลือง มีจุดสีขาวเป็นแถวแนวตั้งบนลำตัวในบางตัว ด้านท้องมีสีจาง, แหล่งน้ำนิ่ง และแม่น้ำของทุกภาค ยกเว้นแม่น้ำสาละวิน, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดนครราชสีมา, กรมประมง, 65.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/65.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=65
66, ปลา, ปลาชะโอนหิน, ดุกขน, Upstream sheatfish, Silurus   torrentis, Family Family SILURIDAE,"kobayakawa, 1989", ปลาชะโอนหินอยู่ในวงศ์ปลาเนื้ออ่อน ลำตัวแบนข้างและเรียวยาว ตาขนาดเล็กมาก หัวและปากขนาดเล็ก มีหนวด 3 คู่ ครีบหางและครีบก้นต่อเนื่องกัน ครีบหลังมีขนาดเล็กมาก ขนาดประมาณ 20-30 เซนติเมตร มักซ่อนตัวอยู่ใต้โขดหิน ออกหากินในเวลากลางคืน กินตัวอ่อนแมลงและสัตว์น้ำขนาดเล็กเป็นอาหาร, พบอาศัยอยู่ตามลำธาร และห้วยบนที่สูงจากระดับน้ำทะเลปานกลาง 200-300 เมตร, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, ศูนย์วิจัยและพัฒนาประมงน้ำจืดสระแก้ว, กรมประมง, 66.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/66.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=66
75, ปลา, ซิวข้างขวาน, ซิวข้างขวานเล็ก," Lambchop rasbora, False Harlequin", Trigonostigma   espei, Family Cyprinidae,"(Kottelat & witte, 1990)"," เป็นปลาน้ำจืด มีลำตัวแบนข้าง รูปร่างสมมาตรซ้ายขวา เกล็ดมีขนาดเล็ก ลำตัวมีสีน้ำเงินอมส้ม ส่วนท้องสีขาวเงิน ครีบมีสีเหลืองส้ม ครีบหางแบบเว้าลึกมีสีเหลืองส้มหรือสีแดงอ่อน มีลักษณะเด่น คือมีแถบสีดำเล็กๆ พาดทับเส้นข้างลำตัวทั้งสองข้าง ตั้งแต่บริเวณด้านหน้าของครีบหลังถึงฐานครีบหาง เป็นปลาที่เคลื่อนที่ได้เร็ว และอาศัยอยู่ในบริเวณแหล่งน้ำตื้นๆ ที่มีพรรณไม้น้ำ น้ำมีสีน้ำตาลใส และวางไข่ติดกับใบของพรรณไม้น้ำพวก Cryptocorynes วางไข่ครั้งละ 200-300 ฟอง (สุรศักดิ์, 2543; Alderton, 1997) ระยะเวลาที่ไข่ฟักเป็นตัวประมาณ 24 ชั่วโมง ลูกปลาสามารถว่ายน้ำเป็นอิสระได้ภายใน 4 วัน และเริ่มกินอาหารขนาดเล็ก (อาหารมีชีวิต)", เป็นปลาน้ำจืดมีถิ่นกำเนิดอยู่ในเขตร้อน มีการแพร่กระจายในแถบประเทศมาเลเซีย อินโดนิเซีย และเกาะสุมาตรา ส่วนในประเทศไทยพบได้ในเขตภาคใต้และภาคตะวันออก สำหรับในจังหวัดตรังจะพบปลาซิวข้างขวานในแม่น้ำ ลำคลอง โดยเฉพาะในเขตอำเภอ ย่านตาขาว และอำเภอปะเหลียน, ใกล้สูญพันธุ์, นางณิชารินทร์ แก้วฤทธิ์, กรมประมง, 75.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/75.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=75
68, ปลา, ยี่สก, เอิน เอินตาแดง อิสก กะสก, Seven-stripped carp, Probarbus    jullieni, Family Cyprinidae,, เป็นปลาน้ำจืดขนาดใหญ่ หัวค่อนข้างโต มีหนวดสั้น 1 คู่ อยู่มุมปากบน ปากเล็กยืดหดได้ อยู่คล้อยลงมาใต้ส่วนหัว สีของลำตัวเหลือง มีแถบสีดำ 7 แถบ พาดไปตามความยาวของ ลำตัว แถบสีดำเหล่านี้จะพาดอยู่ระหว่างรอยต่อของเกล็ด ตาสีแดง ครีบทุกครีบสีชมพู อยู่ตามแม่น้ำที่พื้นที่เป็นกรวด หินหรือทราย ในฤดูผสมพันธุ์ปลาตัวผู้จะเปลี่ยนสีลำตัวเป็นสีคล้ำอมม่วงและมีตุ่มสิวขึ้นบริเวณข้างแก้มและครีบอก วางไข่ในฤดูหนาว โดยจะอยู่รวมกันเป็นฝูงใหญ่ ๆ ฝูงละ 30 - 40 ตัว บริเวณที่วางไข่อยู่ท้ายเกาะกลางน้ำ กินหอยและตัวอ่อนแมลงน้ำที่อยู่บริเวณพื้นดิน ขนาดใหญ่ที่สุดเท่าที่พบมีความยาว 1 เมตร และมีน้ำหนักถึง," พบตามแหล่งน้ำใหญ่ของภาคกลาง, ภาคเหนือและอีสาน เช่น แม่น้ำโขง, แม่น้ำน่าน, แม่น้ำเจ้าพระยา, แม่น้ำท่าจีน, แม่น้ำแม่กลอง นอกจากนี้แล้วยังพบได้ที่แม่น้ำปะหัง ในรัฐปะหัง ของมาเลเซียอีกด้วย", สัตว์น้ำเฉพาะถิ่น,, กรมประมง, 68.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/68.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=68
69, ปลา, หน้าหมอง, หน้าหมอง,, Osteochilus   enneaporus, Family Cyprinidae,, คล้ายปลาสร้อยนกเขา แต่จะงอยปากยื่นกว่า ปากงุ้มอยู่ด้านล่าง ครีบหลังสั้นกว่า ลำตัวมีสีน้ำตาลแดงหรือม่วงคล้ำ หัวมักมีสีคล้ำหรือม่วงคล้ำ ข้างช่องเหงือกมีแต้มสีดำ ครีบสีคล้ำ ขนาด 15 - 20 เซนติเมตร กินตะไคร่น้ำและอินทรียสาร, พบที่ภาคใต้ของไทย และพบที่ อำเภอเซกา จังหวัดบึงกาฬ เมื่อปี 2550, สัตว์น้ำเฉพาะถิ่น, Chaiya peng-un, กรมประมง, 69.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/69.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=69
